COUNT(Kliinik name),CONCATSTR(Kliinik name)
DiagnostikaEkgLaborEhhoMri delemRytm code,DiagnostikaEkgLaborEhhoMri delemRytm name
DiagnostikaEkgLaborEhhoMri delemStemi code,DiagnostikaEkgLaborEhhoMri delemStemi name
DiagnostikaEkgLaborEhhoMri delemYldhinnang code,DiagnostikaEkgLaborEhhoMri delemYldhinnang name
DiagnostikaEkgLaborEhhoMri delemBbb code,DiagnostikaEkgLaborEhhoMri delemBbb name
DiagnostikaEkgLaborEhhoMri delemVasVentrikl code,DiagnostikaEkgLaborEhhoMri delemVasVentrikl name
SKG skgUuringud code,SKG skgUuringud name
SKG skg2ksJahEi code,SKG skg2ksJahEi name
SKG skg2ksTyyp code,SKG skg2ksTyyp name
SKG skgKomplikatsioonidJahEi code,SKG skgKomplikatsioonidJahEi name
SKG skgKahjustatudArteriteArv code,SKG skgKahjustatudArteriteArv name
OperatsioonAks oaToetavRinge code,OperatsioonAks oaToetavRinge name
OperatsioonAks oaKonversioon code,OperatsioonAks oaKonversioon name
OperatsioonAks oaUnaortic code,OperatsioonAks oaUnaortic name
OperatsioonAks oaAordiOsalineKlemmimine code,OperatsioonAks oaAordiOsalineKlemmimine name
OperatsioonAks oaIabp code,OperatsioonAks oaIabp name
OperatsioonAks oaAordiKaltsinoos code,OperatsioonAks oaAordiKaltsinoos name
OperatsioonAks oaProxI,OperatsioonAks oaKonduiitI
OperatsioonAks oaEndarterektoomia code,OperatsioonAks oaEndarterektoomia name
OperatsioonAks oaT2ielikRevaskularisatsioon code,OperatsioonAks oaT2ielikRevaskularisatsioon name
OperatsioonAks oaTehnika code,OperatsioonAks oaTehnika name
SeisundV2ljakirjutamisel svSurm code,SeisundV2ljakirjutamisel svSurm name
SeisundV2ljakirjutamisel svSuunatud code,SeisundV2ljakirjutamisel svSuunatud name
SeisundV2ljakirjutamisel svCkMbI,SeisundV2ljakirjutamisel svTropaniinI
SeisundV2ljakirjutamisel svInfarkt code,SeisundV2ljakirjutamisel svInfarkt name
SeisundV2ljakirjutamisel svInsult code,SeisundV2ljakirjutamisel svInsult name
SeisundV2ljakirjutamisel svCABG code,SeisundV2ljakirjutamisel svCABG name
SeisundV2ljakirjutamisel svSKG code,SeisundV2ljakirjutamisel svSKG name
SeisundV2ljakirjutamisel svUusAngina code,SeisundV2ljakirjutamisel svUusAngina name
SeisundV2ljakirjutamisel svNeerupuudulikus code,SeisundV2ljakirjutamisel svNeerupuudulikus name
SeisundV2ljakirjutamisel svFaX5min code,SeisundV2ljakirjutamisel svFaX5min name
SeisundV2ljakirjutamisel svInfektsiooPindmine code,SeisundV2ljakirjutamisel svInfektsiooPindmine name
SeisundV2ljakirjutamisel svKopsuInf code,SeisundV2ljakirjutamisel svKopsuInf name
SeisundV2ljakirjutamisel svHingamispuudulikkus code,SeisundV2ljakirjutamisel svHingamispuudulikkus name
SeisundV2ljakirjutamisel svVerejooks code,SeisundV2ljakirjutamisel svVerejooks name
SeisundV2ljakirjutamisel svVerekaotus code,SeisundV2ljakirjutamisel svVerekaotus name
SeisundV2ljakirjutamisel svHemostaatikumideKasutamine code,SeisundV2ljakirjutamisel svHemostaatikumideKasutamine name
J2relkontroll jToimumisviis code,J2relkontroll jToimumisviis name
J2relkontroll jkSurmElus code,J2relkontroll jkSurmElus name
COUNT(JKliinilisedUuringud code),CONCATSTR(JKliinilisedUuringud code)
COUNT(JKliinilisedUuringud code),CONCATSTR(JKliinilisedUuringud name)
CONCATSTR(JKliinilisedUuringud code),CONCATSTR(JKliinilisedUuringud name)
COUNT(JKliinilisedUuringud jKliinilisedUuringud code),CONCATSTR(JKliinilisedUuringud jKliinilisedUuringud code)
COUNT(JKliinilisedUuringud jKliinilisedUuringud code),CONCATSTR(JKliinilisedUuringud jKliinilisedUuringud name)
CONCATSTR(JKliinilisedUuringud jKliinilisedUuringud code),CONCATSTR(JKliinilisedUuringud jKliinilisedUuringud name)
COUNT(JJ2relkontroll jJ2relkontrollU code),CONCATSTR(JJ2relkontroll jJ2relkontrollU code)
COUNT(JJ2relkontroll jJ2relkontrollU code),CONCATSTR(JJ2relkontroll jJ2relkontrollU name)
CONCATSTR(JJ2relkontroll jJ2relkontrollU code),CONCATSTR(JJ2relkontroll jJ2relkontrollU name)
Reoperatsioon roTCab code,Reoperatsioon roTCab name
Reoperatsioon roPIsheemia code,Reoperatsioon roPIsheemia name
Reoperatsioon roPSundiKahjustus code,Reoperatsioon roPSundiKahjustus name
Reoperatsioon roPMuu code,Reoperatsioon roPMuu name
Reoperatsioon roOdUusSunt code,Reoperatsioon roOdUusSunt name
Surm sSuriHaiglas code,Surm sSuriHaiglas name
Surm sP6hjus code,Surm sP6hjus name
