COUNT(Kliinik name),CONCATSTR(Kliinik name)
SeisundV2ljakirjutamisel svInfarkt code,SeisundV2ljakirjutamisel svInfarkt name
SeisundV2ljakirjutamisel svInfarkt code,SeisundV2ljakirjutamisel svInfarktKpv
SeisundV2ljakirjutamisel svInfarkt name,SeisundV2ljakirjutamisel svInfarktKpv
SeisundV2ljakirjutamisel svInsult code,SeisundV2ljakirjutamisel svInsult name
SeisundV2ljakirjutamisel svCABG code,SeisundV2ljakirjutamisel svCABG name
SeisundV2ljakirjutamisel svCABG code,SeisundV2ljakirjutamisel svCABGKpv
SeisundV2ljakirjutamisel svCABG name,SeisundV2ljakirjutamisel svCABGKpv
SeisundV2ljakirjutamisel svSKG code,SeisundV2ljakirjutamisel svSKG name
SeisundV2ljakirjutamisel svSKG code,SeisundV2ljakirjutamisel svSKGKpv
SeisundV2ljakirjutamisel svSKG name,SeisundV2ljakirjutamisel svSKGKpv
SeisundV2ljakirjutamisel svNeerupuudulikus code,SeisundV2ljakirjutamisel svNeerupuudulikus name
SeisundV2ljakirjutamisel svNeerupuudulikus code,SeisundV2ljakirjutamisel svNeerupuudulikusKpv
SeisundV2ljakirjutamisel svNeerupuudulikus name,SeisundV2ljakirjutamisel svNeerupuudulikusKpv
SeisundV2ljakirjutamisel svFaX5min code,SeisundV2ljakirjutamisel svFaX5min name
SeisundV2ljakirjutamisel svFaX5min code,SeisundV2ljakirjutamisel svFaX5minKpv
SeisundV2ljakirjutamisel svFaX5min name,SeisundV2ljakirjutamisel svFaX5minKpv
SeisundV2ljakirjutamisel svIABP code,SeisundV2ljakirjutamisel svIABP name
SeisundV2ljakirjutamisel svIABP code,SeisundV2ljakirjutamisel svIABPKpv
SeisundV2ljakirjutamisel svIABP name,SeisundV2ljakirjutamisel svIABPKpv
SeisundV2ljakirjutamisel svInfektsiooPindmine code,SeisundV2ljakirjutamisel svInfektsiooPindmine name
SeisundV2ljakirjutamisel svInfektsiooPindmine code,SeisundV2ljakirjutamisel svInfektsiooPindmineKpv
SeisundV2ljakirjutamisel svInfektsiooPindmine name,SeisundV2ljakirjutamisel svInfektsiooPindmineKpv
SeisundV2ljakirjutamisel svKopsuInf code,SeisundV2ljakirjutamisel svKopsuInf name
SeisundV2ljakirjutamisel svKopsuInf code,SeisundV2ljakirjutamisel svKopsuInfKpv
SeisundV2ljakirjutamisel svKopsuInf name,SeisundV2ljakirjutamisel svKopsuInfKpv
SeisundV2ljakirjutamisel svHingamispuudulikkus code,SeisundV2ljakirjutamisel svHingamispuudulikkus name
SeisundV2ljakirjutamisel svHingamispuudulikkus code,SeisundV2ljakirjutamisel svHingamispuudulikkusKpv
SeisundV2ljakirjutamisel svHingamispuudulikkus name,SeisundV2ljakirjutamisel svHingamispuudulikkusKpv
SeisundV2ljakirjutamisel svVerejooks code,SeisundV2ljakirjutamisel svVerejooks name
SeisundV2ljakirjutamisel svVerejooks code,SeisundV2ljakirjutamisel svVerejooksKpv
SeisundV2ljakirjutamisel svVerejooks name,SeisundV2ljakirjutamisel svVerejooksKpv
SeisundV2ljakirjutamisel svVerekaotus code,SeisundV2ljakirjutamisel svVerekaotus name
COUNT(JKliinilisedUuringud code),COUNT(JJ2relkontroll code)
VarasemadKardivaskulaarsed vkhFAJahEi code,VarasemadKardivaskulaarsed vkhFAJahEi name
DiagnostikaEkgLaborEhhoMri delemMri code,DiagnostikaEkgLaborEhhoMri delemMri name
SKG skg2ksJahEi code,SKG skg2ksJahEi name
SeisundV2ljakirjutamisel svReperfusioonravi code,SeisundV2ljakirjutamisel svReperfusioonravi name
SeisundV2ljakirjutamisel svHemostaatikumideKasutamine code,SeisundV2ljakirjutamisel svHemostaatikumideKasutamine name
SeisundV2ljakirjutamisel svHemostaatikumideKasutamine code,SeisundV2ljakirjutamisel svHemostaatikumideKasutamineKpv
SeisundV2ljakirjutamisel svKate code,SeisundV2ljakirjutamisel svKate name
SeisundV2ljakirjutamisel svHemostaatikumideKasutamine code,SeisundV2ljakirjutamisel svHemostaatikumideKasutamine name
SeisundV2ljakirjutamisel svHemostaatikumideKasutamine code,SeisundV2ljakirjutamisel svHemostaatikumideKasutamineKpv
SeisundV2ljakirjutamisel svPKI code,SeisundV2ljakirjutamisel svPKI name
SeisundV2ljakirjutamisel svUusAngina code,SeisundV2ljakirjutamisel svUusAngina name
SeisundV2ljakirjutamisel svUusAngina code,SeisundV2ljakirjutamisel svUusAnginaKpv
SeisundV2ljakirjutamisel svSyvaveeniTromboos code,SeisundV2ljakirjutamisel svSyvaveeniTromboos name




