COUNT(Kliinik name),CONCATSTR(Kliinik name)
AksHaigeSeisund ahsHospitaliseerimine,DiagnostikaEkgLaborEhhoMri delemKiirabi
AksHaigeSeisund ahsHospitaliseerimine,DiagnostikaEkgLaborEhhoMri delemPerearst
AksHaigeSeisund ahsHospitaliseerimineKell,DiagnostikaEkgLaborEhhoMri delemPerearst
AksHaigeSeisund ahsAks,AksHaigeSeisund ahsSydamepuudulikkus code
AksHaigeSeisund ahsAks,AksHaigeSeisund ahsSydamepuudulikkus name
AksHaigeSeisund ahsAks,AksHaigeSeisund ahsKillipKlass code
AksHaigeSeisund ahsAks,AksHaigeSeisund ahsKillipKlass name
AksHaigeSeisund ahsAks,DiagnostikaEkgLaborEhhoMri delemKiirabi
AksHaigeSeisund ahsSydamepuudulikkus code,AksHaigeSeisund ahsSydamepuudulikkus name
AksHaigeSeisund ahsKillipKlass code,AksHaigeSeisund ahsKillipKlass name
AksHaigeSeisund ahsSydameSeiskus code,AksHaigeSeisund ahsSydameSeiskus name
DiagnostikaEkgLaborEhhoMri delemRytm code,DiagnostikaEkgLaborEhhoMri delemRytm name
DiagnostikaEkgLaborEhhoMri delemKiirabiKpv,DiagnostikaEkgLaborEhhoMri delemKiirabi
DiagnostikaEkgLaborEhhoMri delemPerearst,AksHaigeSeisund ahsAks
DiagnostikaEkgLaborEhhoMri delemPerearst,DiagnostikaEkgLaborEhhoMri delemKohtIAeg
DiagnostikaEkgLaborEhhoMri delemPerearst,DiagnostikaEkgLaborEhhoMri delemKohtIKpv
DiagnostikaEkgLaborEhhoMri delemStemi code,DiagnostikaEkgLaborEhhoMri delemStemi name
DiagnostikaEkgLaborEhhoMri delemYldhinnang code,DiagnostikaEkgLaborEhhoMri delemYldhinnang name
DiagnostikaEkgLaborEhhoMri delemVasVentrikl code,DiagnostikaEkgLaborEhhoMri delemVasVentrikl name
COUNT(BbbT2psustus code),CONCATSTR(BbbT2psustus name)
CONCATSTR(BbbT2psustus code),CONCATSTR(BbbT2psustus name)
SKG skgUuringud code,SKG skgUuringud name
SKG skg2ksJahEi code,SKG skg2ksJahEi name
SKG skg2ksTyyp code,SKG skg2ksTyyp name
SKG skgKomplikatsioonidJahEi code,SKG skgKomplikatsioonidJahEi name
SKG skgKahjustatudArteriteArv code,SKG skgKahjustatudArteriteArv name
OperatsioonAks oaToetavRinge code,OperatsioonAks oaToetavRinge name
OperatsioonAks oaKonversioon code,OperatsioonAks oaKonversioon name
OperatsioonAks oaAordiOsalineKlemmimine code,OperatsioonAks oaAordiOsalineKlemmimine name
OperatsioonAks oaAordiKaltsinoos code,OperatsioonAks oaAordiKaltsinoos name
OperatsioonAks oaProxI,OperatsioonAks oaKonduiitI
OperatsioonAks oaProxV,OperatsioonAks oaKonduiitV
OperatsioonAks oaDistV,OperatsioonAks oaKonduiitV
OperatsioonAks oaEndarterektoomia code,OperatsioonAks oaEndarterektoomia name
OperatsioonAks oaT2ielikRevaskularisatsioon code,OperatsioonAks oaT2ielikRevaskularisatsioon name
OperatsioonAks oaKordusProxIV,OperatsioonAks oaKordusDistIV
OperatsioonAks oaKordusKonduiitIV,OperatsioonAks oaKordusDistIV
OperatsioonAks oaTehnika code,OperatsioonAks oaTehnika name
OperatsioonAks oaLm,OperatsioonAks oaSuntideSeisund4L
OperatsioonAks oaLm,OperatsioonAks oaSuntideSeisund5A
SeisundV2ljakirjutamisel svSurm code,SeisundV2ljakirjutamisel svSurm name
SeisundV2ljakirjutamisel svCkMbIKpv,SeisundV2ljakirjutamisel svTropaniinI
SeisundV2ljakirjutamisel svKreatiniinIKpv,SeisundV2ljakirjutamisel svCABGKpv
SeisundV2ljakirjutamisel svTroponiinII,SeisundV2ljakirjutamisel svTroponiinIIKpv
SeisundV2ljakirjutamisel svInsult code,SeisundV2ljakirjutamisel svInsult name
SeisundV2ljakirjutamisel svInsult code,SeisundV2ljakirjutamisel svPKI code
SeisundV2ljakirjutamisel svInsult code,SeisundV2ljakirjutamisel svPKI name
SeisundV2ljakirjutamisel svInsult name,SeisundV2ljakirjutamisel svPKI code
SeisundV2ljakirjutamisel svInsult name,SeisundV2ljakirjutamisel svPKI name
SeisundV2ljakirjutamisel svPKI code,SeisundV2ljakirjutamisel svCABG code
SeisundV2ljakirjutamisel svPKI code,SeisundV2ljakirjutamisel svCABG name
SeisundV2ljakirjutamisel svPKI code,SeisundV2ljakirjutamisel svSKG code
SeisundV2ljakirjutamisel svPKI code,SeisundV2ljakirjutamisel svSKG name
SeisundV2ljakirjutamisel svPKI code,SeisundV2ljakirjutamisel svNeerupuudulikus code
SeisundV2ljakirjutamisel svPKI code,SeisundV2ljakirjutamisel svNeerupuudulikus name
SeisundV2ljakirjutamisel svPKI code,SeisundV2ljakirjutamisel svIABP code
SeisundV2ljakirjutamisel svPKI code,SeisundV2ljakirjutamisel svIABP name
SeisundV2ljakirjutamisel svPKI code,SeisundV2ljakirjutamisel svInfektsiooPindmine code
SeisundV2ljakirjutamisel svPKI name,SeisundV2ljakirjutamisel svCABG code
SeisundV2ljakirjutamisel svPKI name,SeisundV2ljakirjutamisel svCABG name
SeisundV2ljakirjutamisel svPKI name,SeisundV2ljakirjutamisel svSKG code
SeisundV2ljakirjutamisel svPKI name,SeisundV2ljakirjutamisel svSKG name
SeisundV2ljakirjutamisel svPKI name,SeisundV2ljakirjutamisel svNeerupuudulikus code
SeisundV2ljakirjutamisel svPKI name,SeisundV2ljakirjutamisel svNeerupuudulikus name
SeisundV2ljakirjutamisel svPKI name,SeisundV2ljakirjutamisel svIABP code
SeisundV2ljakirjutamisel svPKI name,SeisundV2ljakirjutamisel svIABP name
SeisundV2ljakirjutamisel svPKI name,SeisundV2ljakirjutamisel svInfektsiooPindmine code
SeisundV2ljakirjutamisel svCABG code,SeisundV2ljakirjutamisel svCABG name
SeisundV2ljakirjutamisel svCABG code,SeisundV2ljakirjutamisel svCABGKpv
SeisundV2ljakirjutamisel svCABG name,SeisundV2ljakirjutamisel svCABGKpv
SeisundV2ljakirjutamisel svCABGKpv,SeisundV2ljakirjutamisel svKreatiniinIIKpv
SeisundV2ljakirjutamisel svCABGKpv,SeisundV2ljakirjutamisel svIABPKpv
SeisundV2ljakirjutamisel svSKG code,SeisundV2ljakirjutamisel svSKG name
SeisundV2ljakirjutamisel svUusAngina code,SeisundV2ljakirjutamisel svUusAngina name
SeisundV2ljakirjutamisel svNeerupuudulikus code,SeisundV2ljakirjutamisel svNeerupuudulikus name
SeisundV2ljakirjutamisel svFaX5min code,SeisundV2ljakirjutamisel svFaX5min name
SeisundV2ljakirjutamisel svIABP code,SeisundV2ljakirjutamisel svIABP name
SeisundV2ljakirjutamisel svKopsuInf code,SeisundV2ljakirjutamisel svKopsuInf name
SeisundV2ljakirjutamisel svKopsuInf code,SeisundV2ljakirjutamisel svKopsuInfKpv
SeisundV2ljakirjutamisel svKopsuInf name,SeisundV2ljakirjutamisel svKopsuInfKpv
SeisundV2ljakirjutamisel svHingamispuudulikkus code,SeisundV2ljakirjutamisel svHingamispuudulikkus name
SeisundV2ljakirjutamisel svVerejooks code,SeisundV2ljakirjutamisel svVerejooks name
SeisundV2ljakirjutamisel svVerejooksKpv,SeisundV2ljakirjutamisel svVerejooks code
SeisundV2ljakirjutamisel svVerejooksKpv,SeisundV2ljakirjutamisel svVerejooks name
SeisundV2ljakirjutamisel svVerekaotus code,SeisundV2ljakirjutamisel svVerekaotus name
SeisundV2ljakirjutamisel svVerekaotusKpv,SeisundV2ljakirjutamisel svHemostaatikumideKasutamineKpv
SeisundV2ljakirjutamisel svHemostaatikumideKasutamine code,SeisundV2ljakirjutamisel svHemostaatikumideKasutamine name
SeisundV2ljakirjutamisel svHemostaatikumideKasutamine code,SeisundV2ljakirjutamisel svHemostaatikumideKasutamineKpv
SeisundV2ljakirjutamisel svHemostaatikumideKasutamine name,SeisundV2ljakirjutamisel svHemostaatikumideKasutamineKpv
J2relkontroll jToimumisviis code,J2relkontroll jToimumisviis name
J2relkontroll jkSurmElus code,J2relkontroll jkSurmElus name
COUNT(JKliinilisedUuringud code),CONCATSTR(JKliinilisedUuringud jKliinilisedUuringud name)
COUNT(JKliinilisedUuringud code),CONCATSTR(JJ2relkontroll jJ2relkontrollU code)
COUNT(JKliinilisedUuringud code),CONCATSTR(JJ2relkontroll jJ2relkontrollU name)
CONCATSTR(JKliinilisedUuringud code),CONCATSTR(JKliinilisedUuringud name)
CONCATSTR(JKliinilisedUuringud code),CONCATSTR(JJ2relkontroll code)
CONCATSTR(JKliinilisedUuringud code),CONCATSTR(JJ2relkontroll name)
CONCATSTR(JKliinilisedUuringud name),CONCATSTR(JJ2relkontroll code)
CONCATSTR(JKliinilisedUuringud name),CONCATSTR(JJ2relkontroll name)
CONCATSTR(JKliinilisedUuringud jKliinilisedUuringud code),COUNT(JKliinilisedUuringud code)
CONCATSTR(JKliinilisedUuringud jKliinilisedUuringud code),COUNT(JJ2relkontroll code)
CONCATSTR(JKliinilisedUuringud jKliinilisedUuringud code),CONCATSTR(JJ2relkontroll code)
CONCATSTR(JKliinilisedUuringud jKliinilisedUuringud code),CONCATSTR(JJ2relkontroll name)
CONCATSTR(JKliinilisedUuringud jKliinilisedUuringud name),COUNT(JJ2relkontroll code)
CONCATSTR(JKliinilisedUuringud jKliinilisedUuringud name),CONCATSTR(JJ2relkontroll code)
CONCATSTR(JKliinilisedUuringud jKliinilisedUuringud name),CONCATSTR(JJ2relkontroll name)
COUNT(JJ2relkontroll code),CONCATSTR(JJ2relkontroll jJ2relkontrollU code)
COUNT(JJ2relkontroll code),CONCATSTR(JJ2relkontroll jJ2relkontrollU name)
CONCATSTR(JJ2relkontroll code),CONCATSTR(JJ2relkontroll jJ2relkontrollU code)
CONCATSTR(JJ2relkontroll name),CONCATSTR(JJ2relkontroll jJ2relkontrollU code)
COUNT(JJ2relkontroll jJ2relkontrollU code),CONCATSTR(JJ2relkontroll jJ2relkontrollU name)
CONCATSTR(JJ2relkontroll jJ2relkontrollU code),COUNT(JJ2relkontroll jJ2relkontrollU code)
CONCATSTR(JJ2relkontroll jJ2relkontrollU name),CONCATSTR(JJ2relkontroll code)
CONCATSTR(JJ2relkontroll jJ2relkontrollU name),CONCATSTR(JJ2relkontroll name)
Reoperatsioon roSaabumine,Reoperatsioon roEndarterektoomia code
Reoperatsioon roSaabumine,Reoperatsioon roEndarterektoomia name
Reoperatsioon roSaabumine,Reoperatsioon roKonduiitI
Reoperatsioon roSaabumine,Reoperatsioon roProxII
Reoperatsioon roSaabumine,Reoperatsioon roKonduiitII
Reoperatsioon roSaabumine,Reoperatsioon roTabelVs1D
Reoperatsioon roSaabumine,Reoperatsioon roTabelVs2P
Reoperatsioon roOperatsioon,Reoperatsioon roPIsheemia code
Reoperatsioon roOperatsioon,Reoperatsioon roPIsheemia name
Reoperatsioon roOperatsioon,Reoperatsioon roPOmaArteriOklus code
Reoperatsioon roOperatsioon,Reoperatsioon roPOmaArteriOklus name
Reoperatsioon roOperatsioon,Reoperatsioon roPKlapiOperatsioon code
Reoperatsioon roOperatsioon,Reoperatsioon roPKlapiOperatsioon name
Reoperatsioon roOperatsioon,Reoperatsioon roPMuu code
Reoperatsioon roOperatsioon,Reoperatsioon roPMuu name
Reoperatsioon roOperatsioon,Reoperatsioon roEndarterektoomia code
Reoperatsioon roOperatsioon,Reoperatsioon roEndarterektoomia name
Reoperatsioon roOperatsioon,Reoperatsioon roKonduiitI
Reoperatsioon roOperatsioon,Reoperatsioon roKonduiitII
Reoperatsioon roOperatsioon,Reoperatsioon roDistII
Reoperatsioon roLahkumine,Reoperatsioon roEndarterektoomia code
Reoperatsioon roLahkumine,Reoperatsioon roEndarterektoomia name
Reoperatsioon roTCab code,Reoperatsioon roOperatsioon
Reoperatsioon roPIsheemia code,Reoperatsioon roPIsheemia name
Reoperatsioon roPIsheemia code,Reoperatsioon roPKlapiOperatsioon code
Reoperatsioon roPIsheemia code,Reoperatsioon roPKlapiOperatsioon name
Reoperatsioon roPIsheemia name,Reoperatsioon roPKlapiOperatsioon code
Reoperatsioon roPIsheemia name,Reoperatsioon roPKlapiOperatsioon name
Reoperatsioon roPSundiKahjustus code,Reoperatsioon roOperatsioon
Reoperatsioon roPSundiKahjustus name,Reoperatsioon roOperatsioon
Reoperatsioon roPMuu code,Reoperatsioon roPMuu name
Reoperatsioon roOdVanaSunt code,Reoperatsioon roSaabumine
Reoperatsioon roOdVanaSunt code,Reoperatsioon roOperatsioon
Reoperatsioon roOdVanaSunt code,Reoperatsioon roLahkumine
Reoperatsioon roOdVanaSunt code,Reoperatsioon roOdUusSunt code
Reoperatsioon roOdVanaSunt code,Reoperatsioon roOdUusSunt name
Reoperatsioon roOdVanaSunt name,Reoperatsioon roSaabumine
Reoperatsioon roOdVanaSunt name,Reoperatsioon roOperatsioon
Reoperatsioon roOdVanaSunt name,Reoperatsioon roLahkumine
Reoperatsioon roOdVanaSunt name,Reoperatsioon roOdUusSunt code
Reoperatsioon roOdVanaSunt name,Reoperatsioon roOdUusSunt name
Reoperatsioon roOdUusSunt code,Reoperatsioon roSaabumine
Reoperatsioon roOdUusSunt code,Reoperatsioon roOperatsioon
Reoperatsioon roOdUusSunt name,Reoperatsioon roSaabumine
Reoperatsioon roOdUusSunt name,Reoperatsioon roOperatsioon
Reoperatsioon roT2ielikRevaskulatsioon code,Reoperatsioon roT2ielikRevaskulatsioon name
Reoperatsioon roDistI,Reoperatsioon roTabelVs2P
Reoperatsioon roProxII,Reoperatsioon roOperatsioon
Reoperatsioon roDistII,Reoperatsioon roSaabumine
Reoperatsioon roProxIII,Reoperatsioon roSaabumine
Reoperatsioon roProxIII,Reoperatsioon roOperatsioon
Reoperatsioon roProxIII,Reoperatsioon roDistIII
Reoperatsioon roKonduiitIII,Reoperatsioon roSaabumine
Reoperatsioon roKonduiitIII,Reoperatsioon roOperatsioon
Reoperatsioon roKonduiitIII,Reoperatsioon roDistIII
Reoperatsioon roTabelVs1P,Reoperatsioon roLahkumine
Reoperatsioon roTabelVs1K,Reoperatsioon roLahkumine
Reoperatsioon roTabelVs1K,Reoperatsioon roTabelVs2P
Reoperatsioon roTabelVs1D,Reoperatsioon roTabelVs2P
Reoperatsioon roTabelVs2P,Reoperatsioon roOperatsioon
Reoperatsioon roTabelVs2P,Reoperatsioon roLahkumine
Reoperatsioon roTabelVs2P,Reoperatsioon roPSundiKahjustus code
Reoperatsioon roTabelVs2P,Reoperatsioon roPSundiKahjustus name
Reoperatsioon roTabelVs3D,Reoperatsioon roTabelVs3P
Reoperatsioon roTabelVs4P,Reoperatsioon roTabelVs4D
Surm sSuriHaiglas code,Surm sSuriHaiglas name
Surm sP6hjus code,Surm sP6hjus name
